,Rsn,Rs,Rsw,Es,es0,es2,ys
A240,240,210,170,200000,0.00105,0.025,1.15
A400,400,350,280,200000,0.00175,0.025,1.15
A500,500,435,300,200000,0.002175,0.025,1.15
A600,600,520,0,200000,0.0026,0.015,1.15
A800,800,695,0,200000,0.003475,0.015,1.15
A1000,1000,870,0,200000,0.00435,0.015,1.15
B500,500,435,300,200000,0.002175,0.025,1.15
K1400,1400,1215,0,195000,0.006230769,0.015,1.15
K1500,1500,1300,0,195000,0.006666667,0.015,1.15
K1600,1600,1390,0,195000,0.007128205,0.015,1.15
K1700,1700,1475,0,195000,0.007564103,0.015,1.15
